,code,smiley,CLDR,keywords
684,U+1F344,🍄,mushroom,mushroom | toadstool
685,U+1F347,🍇,grapes,fruit | grape | grapes
686,U+1F348,🍈,melon,fruit | melon
687,U+1F349,🍉,watermelon,fruit | watermelon
688,U+1F34A,🍊,tangerine,fruit | orange | tangerine
689,U+1F34B,🍋,lemon,citrus | fruit | lemon
690,U+1F34C,🍌,banana,banana | fruit
691,U+1F34D,🍍,pineapple,fruit | pineapple
692,U+1F96D,🥭,mango,fruit | mango | tropical
693,U+1F34E,🍎,red apple,apple | fruit | red
694,U+1F34F,🍏,green apple,apple | fruit | green
695,U+1F350,🍐,pear,fruit | pear
696,U+1F351,🍑,peach,fruit | peach
697,U+1F352,🍒,cherries,berries | cherries | cherry | fruit | red
698,U+1F353,🍓,strawberry,berry | fruit | strawberry
699,U+1FAD0,🫐,blueberries,berry | bilberry | blue | blueberries | blueberry
700,U+1F95D,🥝,kiwi fruit,food | fruit | kiwi
701,U+1F345,🍅,tomato,fruit | tomato | vegetable
702,U+1FAD2,🫒,olive,food | olive
703,U+1F965,🥥,coconut,coconut | palm | piña colada
704,U+1F951,🥑,avocado,avocado | food | fruit
705,U+1F346,🍆,eggplant,aubergine | eggplant | vegetable
706,U+1F954,🥔,potato,food | potato | vegetable
707,U+1F955,🥕,carrot,carrot | food | vegetable
708,U+1F33D,🌽,ear of corn,corn | ear | ear of corn | maize | maze
709,U+1F336,🌶,hot pepper,hot | pepper
710,U+1FAD1,🫑,bell pepper,bell pepper | capsicum | pepper | vegetable
711,U+1F952,🥒,cucumber,cucumber | food | pickle | vegetable
712,U+1F96C,🥬,leafy green,bok choy | cabbage | kale | leafy green | lettuce
713,U+1F966,🥦,broccoli,broccoli | wild cabbage
714,U+1F9C4,🧄,garlic,flavoring | garlic
715,U+1F9C5,🧅,onion,flavoring | onion
716,U+1F95C,🥜,peanuts,food | nut | peanut | peanuts | vegetable
717,U+1FAD8,🫘,beans,beans | food | kidney | legume
718,U+1F330,🌰,chestnut,chestnut | plant
719,U+1FADA,🫚,⊛ ginger root,beer | ginger root | root | spice
720,U+1FADB,🫛,⊛ pea pod,beans | edamame | legume | pea | pod | vegetable
721,U+1F35E,🍞,bread,bread | loaf
722,U+1F950,🥐,croissant,bread | breakfast | croissant | food | french | roll
723,U+1F956,🥖,baguette bread,baguette | bread | food | french
724,U+1FAD3,🫓,flatbread,arepa | flatbread | lavash | naan | pita
725,U+1F968,🥨,pretzel,pretzel | twisted | convoluted
726,U+1F96F,🥯,bagel,bagel | bakery | breakfast | schmear
727,U+1F95E,🥞,pancakes,breakfast | crêpe | food | hotcake | pancake | pancakes
728,U+1F9C7,🧇,waffle,breakfast | indecisive | iron | waffle
729,U+1F9C0,🧀,cheese wedge,cheese | cheese wedge
730,U+1F356,🍖,meat on bone,bone | meat | meat on bone
731,U+1F357,🍗,poultry leg,bone | chicken | drumstick | leg | poultry
732,U+1F969,🥩,cut of meat,chop | cut of meat | lambchop | porkchop | steak
733,U+1F953,🥓,bacon,bacon | breakfast | food | meat
734,U+1F354,🍔,hamburger,burger | hamburger
735,U+1F35F,🍟,french fries,french | fries
736,U+1F355,🍕,pizza,cheese | pizza | slice
737,U+1F32D,🌭,hot dog,frankfurter | hot dog | hotdog | sausage
738,U+1F96A,🥪,sandwich,bread | sandwich
739,U+1F32E,🌮,taco,mexican | taco
740,U+1F32F,🌯,burrito,burrito | mexican | wrap
741,U+1FAD4,🫔,tamale,mexican | tamale | wrapped
742,U+1F959,🥙,stuffed flatbread,falafel | flatbread | food | gyro | kebab | stuffed
743,U+1F9C6,🧆,falafel,chickpea | falafel | meatball
744,U+1F95A,🥚,egg,breakfast | egg | food
745,U+1F373,🍳,cooking,breakfast | cooking | egg | frying | pan
746,U+1F958,🥘,shallow pan of food,casserole | food | paella | pan | shallow | shallow pan of food
747,U+1F372,🍲,pot of food,pot | pot of food | stew
748,U+1FAD5,🫕,fondue,cheese | chocolate | fondue | melted | pot | Swiss
749,U+1F963,🥣,bowl with spoon,bowl with spoon | breakfast | cereal | congee | oatmeal | porridge
750,U+1F957,🥗,green salad,food | green | salad
751,U+1F37F,🍿,popcorn,popcorn
752,U+1F9C8,🧈,butter,butter | dairy
753,U+1F9C2,🧂,salt,condiment | salt | shaker
754,U+1F96B,🥫,canned food,can | canned food
755,U+1F371,🍱,bento box,bento | box
756,U+1F358,🍘,rice cracker,cracker | rice
757,U+1F359,🍙,rice ball,ball | Japanese | rice
758,U+1F35A,🍚,cooked rice,cooked | rice
759,U+1F35B,🍛,curry rice,curry | rice
760,U+1F35C,🍜,steaming bowl,bowl | noodle | ramen | steaming
761,U+1F35D,🍝,spaghetti,pasta | spaghetti
762,U+1F360,🍠,roasted sweet potato,potato | roasted | sweet
763,U+1F362,🍢,oden,kebab | oden | seafood | skewer | stick
764,U+1F363,🍣,sushi,sushi
765,U+1F364,🍤,fried shrimp,fried | prawn | shrimp | tempura
766,U+1F365,🍥,fish cake with swirl,cake | fish | fish cake with swirl | pastry | swirl
767,U+1F96E,🥮,moon cake,autumn | festival | moon cake | yuèbǐng
768,U+1F361,🍡,dango,dango | dessert | Japanese | skewer | stick | sweet
769,U+1F95F,🥟,dumpling,dumpling | empanada | gyōza | jiaozi | pierogi | potsticker
770,U+1F960,🥠,fortune cookie,fortune cookie | prophecy
771,U+1F961,🥡,takeout box,oyster pail | takeout box
772,U+1F980,🦀,crab,Cancer | crab | zodiac
773,U+1F99E,🦞,lobster,bisque | claws | lobster | seafood
774,U+1F990,🦐,shrimp,food | shellfish | shrimp | small
775,U+1F991,🦑,squid,food | molusc | squid
776,U+1F9AA,🦪,oyster,diving | oyster | pearl
777,U+1F366,🍦,soft ice cream,cream | dessert | ice | icecream | soft | sweet
778,U+1F367,🍧,shaved ice,dessert | ice | shaved | sweet
779,U+1F368,🍨,ice cream,cream | dessert | ice | sweet
780,U+1F369,🍩,doughnut,breakfast | dessert | donut | doughnut | sweet
781,U+1F36A,🍪,cookie,cookie | dessert | sweet
782,U+1F382,🎂,birthday cake,birthday | cake | celebration | dessert | pastry | sweet
783,U+1F370,🍰,shortcake,cake | dessert | pastry | shortcake | slice | sweet
784,U+1F9C1,🧁,cupcake,bakery | cupcake | sweet
785,U+1F967,🥧,pie,filling | pastry | pie | fruit | meat
786,U+1F36B,🍫,chocolate bar,bar | chocolate | dessert | sweet
787,U+1F36C,🍬,candy,candy | dessert | sweet
788,U+1F36D,🍭,lollipop,candy | dessert | lollipop | sweet
789,U+1F36E,🍮,custard,custard | dessert | pudding | sweet
790,U+1F36F,🍯,honey pot,honey | honeypot | pot | sweet
791,U+1F37C,🍼,baby bottle,baby | bottle | drink | milk
792,U+1F95B,🥛,glass of milk,drink | glass | glass of milk | milk
793,U+2615,☕,hot beverage,beverage | coffee | drink | hot | steaming | tea
794,U+1FAD6,🫖,teapot,drink | pot | tea | teapot
795,U+1F375,🍵,teacup without handle,beverage | cup | drink | tea | teacup | teacup without handle
796,U+1F376,🍶,sake,bar | beverage | bottle | cup | drink | sake
797,U+1F37E,🍾,bottle with popping cork,bar | bottle | bottle with popping cork | cork | drink | popping
798,U+1F377,🍷,wine glass,bar | beverage | drink | glass | wine
799,U+1F378,🍸,cocktail glass,bar | cocktail | drink | glass
800,U+1F379,🍹,tropical drink,bar | drink | tropical
801,U+1F37A,🍺,beer mug,bar | beer | drink | mug
802,U+1F37B,🍻,clinking beer mugs,bar | beer | clink | clinking beer mugs | drink | mug
803,U+1F942,🥂,clinking glasses,celebrate | clink | clinking glasses | drink | glass
804,U+1F943,🥃,tumbler glass,glass | liquor | shot | tumbler | whisky
805,U+1FAD7,🫗,pouring liquid,drink | empty | glass | pouring liquid | spill
806,U+1F964,🥤,cup with straw,cup with straw | juice | soda | malt | soft drink | water
807,U+1F9CB,🧋,bubble tea,bubble | milk | pearl | tea
808,U+1F9C3,🧃,beverage box,beverage | box | juice | straw | sweet
809,U+1F9C9,🧉,mate,drink | mate
810,U+1F9CA,🧊,ice,cold | ice | ice cube | iceberg
811,U+1F962,🥢,chopsticks,chopsticks | hashi | jeotgarak | kuaizi
812,U+1F37D,🍽,fork and knife with plate,cooking | fork | fork and knife with plate | knife | plate
813,U+1F374,🍴,fork and knife,cooking | cutlery | fork | fork and knife | knife
814,U+1F944,🥄,spoon,spoon | tableware
815,U+1F52A,🔪,kitchen knife,cooking | hocho | kitchen knife | knife | tool | weapon
816,U+1FAD9,🫙,jar,condiment | container | empty | jar | sauce | store
817,U+1F3FA,🏺,amphora,amphora | Aquarius | cooking | drink | jug | zodiac
818,U+1F30D,🌍,globe showing Europe-Africa,Africa | earth | Europe | globe | globe showing Europe-Africa | world
819,U+1F30E,🌎,globe showing Americas,Americas | earth | globe | globe showing Americas | world
820,U+1F30F,🌏,globe showing Asia-Australia,Asia | Australia | earth | globe | globe showing Asia-Australia | world
821,U+1F310,🌐,globe with meridians,earth | globe | globe with meridians | meridians | world
822,U+1F5FA,🗺,world map,map | world
823,U+1F5FE,🗾,map of Japan,Japan | map | map of Japan
824,U+1F9ED,🧭,compass,compass | magnetic | navigation | orienteering
825,U+1F3D4,🏔,snow-capped mountain,cold | mountain | snow | snow-capped mountain
826,U+26F0,⛰,mountain,mountain
827,U+1F30B,🌋,volcano,eruption | mountain | volcano
828,U+1F5FB,🗻,mount fuji,fuji | mount fuji | mountain
829,U+1F3D5,🏕,camping,camping
830,U+1F3D6,🏖,beach with umbrella,beach | beach with umbrella | umbrella
831,U+1F3DC,🏜,desert,desert
832,U+1F3DD,🏝,desert island,desert | island
833,U+1F3DE,🏞,national park,national park | park
834,U+1F3DF,🏟,stadium,stadium
835,U+1F3DB,🏛,classical building,classical | classical building
836,U+1F3D7,🏗,building construction,building construction | construction
837,U+1F9F1,🧱,brick,brick | bricks | clay | mortar | wall
838,U+1FAA8,🪨,rock,boulder | heavy | rock | solid | stone
839,U+1FAB5,🪵,wood,log | lumber | timber | wood
840,U+1F6D6,🛖,hut,house | hut | roundhouse | yurt
841,U+1F3D8,🏘,houses,houses
842,U+1F3DA,🏚,derelict house,derelict | house
843,U+1F3E0,🏠,house,home | house
844,U+1F3E1,🏡,house with garden,garden | home | house | house with garden
845,U+1F3E2,🏢,office building,building | office building
846,U+1F3E3,🏣,Japanese post office,Japanese | Japanese post office | post
847,U+1F3E4,🏤,post office,European | post | post office
848,U+1F3E5,🏥,hospital,doctor | hospital | medicine
849,U+1F3E6,🏦,bank,bank | building
850,U+1F3E8,🏨,hotel,building | hotel
851,U+1F3E9,🏩,love hotel,hotel | love
852,U+1F3EA,🏪,convenience store,convenience | store
853,U+1F3EB,🏫,school,building | school
854,U+1F3EC,🏬,department store,department | store
855,U+1F3ED,🏭,factory,building | factory
856,U+1F3EF,🏯,Japanese castle,castle | Japanese
857,U+1F3F0,🏰,castle,castle | European
858,U+1F492,💒,wedding,chapel | romance | wedding
859,U+1F5FC,🗼,Tokyo tower,Tokyo | tower
860,U+1F5FD,🗽,Statue of Liberty,liberty | statue | Statue of Liberty
861,U+26EA,⛪,church,Christian | church | cross | religion
862,U+1F54C,🕌,mosque,islam | mosque | Muslim | religion
863,U+1F6D5,🛕,hindu temple,hindu | temple
864,U+1F54D,🕍,synagogue,Jew | Jewish | religion | synagogue | temple
865,U+26E9,⛩,shinto shrine,religion | shinto | shrine
866,U+1F54B,🕋,kaaba,islam | kaaba | Muslim | religion
867,U+26F2,⛲,fountain,fountain
868,U+26FA,⛺,tent,camping | tent
869,U+1F301,🌁,foggy,fog | foggy
870,U+1F303,🌃,night with stars,night | night with stars | star
871,U+1F3D9,🏙,cityscape,city | cityscape
872,U+1F304,🌄,sunrise over mountains,morning | mountain | sun | sunrise | sunrise over mountains
873,U+1F305,🌅,sunrise,morning | sun | sunrise
874,U+1F306,🌆,cityscape at dusk,city | cityscape at dusk | dusk | evening | landscape | sunset
875,U+1F307,🌇,sunset,dusk | sun | sunset
876,U+1F309,🌉,bridge at night,bridge | bridge at night | night
877,U+2668,♨,hot springs,hot | hotsprings | springs | steaming
878,U+1F3A0,🎠,carousel horse,carousel | horse
879,U+1F6DD,🛝,playground slide,amusement park | play | playground slide
880,U+1F3A1,🎡,ferris wheel,amusement park | ferris | wheel
881,U+1F3A2,🎢,roller coaster,amusement park | coaster | roller
882,U+1F488,💈,barber pole,barber | haircut | pole
883,U+1F3AA,🎪,circus tent,circus | tent
884,U+1F682,🚂,locomotive,engine | locomotive | railway | steam | train
885,U+1F683,🚃,railway car,car | electric | railway | train | tram | trolleybus
886,U+1F684,🚄,high-speed train,high-speed train | railway | shinkansen | speed | train
887,U+1F685,🚅,bullet train,bullet | railway | shinkansen | speed | train
888,U+1F686,🚆,train,railway | train
889,U+1F687,🚇,metro,metro | subway
890,U+1F688,🚈,light rail,light rail | railway
891,U+1F689,🚉,station,railway | station | train
892,U+1F68A,🚊,tram,tram | trolleybus
893,U+1F69D,🚝,monorail,monorail | vehicle
894,U+1F69E,🚞,mountain railway,car | mountain | railway
895,U+1F68B,🚋,tram car,car | tram | trolleybus
896,U+1F68C,🚌,bus,bus | vehicle
897,U+1F68D,🚍,oncoming bus,bus | oncoming
898,U+1F68E,🚎,trolleybus,bus | tram | trolley | trolleybus
899,U+1F690,🚐,minibus,bus | minibus
900,U+1F691,🚑,ambulance,ambulance | vehicle
901,U+1F692,🚒,fire engine,engine | fire | truck
902,U+1F693,🚓,police car,car | patrol | police
903,U+1F694,🚔,oncoming police car,car | oncoming | police
904,U+1F695,🚕,taxi,taxi | vehicle
905,U+1F696,🚖,oncoming taxi,oncoming | taxi
906,U+1F697,🚗,automobile,automobile | car
907,U+1F698,🚘,oncoming automobile,automobile | car | oncoming
908,U+1F699,🚙,sport utility vehicle,recreational | sport utility | sport utility vehicle
909,U+1F6FB,🛻,pickup truck,pick-up | pickup | truck
910,U+1F69A,🚚,delivery truck,delivery | truck
911,U+1F69B,🚛,articulated lorry,articulated lorry | lorry | semi | truck
912,U+1F69C,🚜,tractor,tractor | vehicle
913,U+1F3CE,🏎,racing car,car | racing
914,U+1F3CD,🏍,motorcycle,motorcycle | racing
915,U+1F6F5,🛵,motor scooter,motor | scooter
916,U+1F9BD,🦽,manual wheelchair,accessibility | manual wheelchair
917,U+1F9BC,🦼,motorized wheelchair,accessibility | motorized wheelchair
918,U+1F6FA,🛺,auto rickshaw,auto rickshaw | tuk tuk
919,U+1F6B2,🚲,bicycle,bicycle | bike
920,U+1F6F4,🛴,kick scooter,kick | scooter
921,U+1F6F9,🛹,skateboard,board | skateboard
922,U+1F6FC,🛼,roller skate,roller | skate
923,U+1F68F,🚏,bus stop,bus | stop
924,U+1F6E3,🛣,motorway,highway | motorway | road
925,U+1F6E4,🛤,railway track,railway | railway track | train
926,U+1F6E2,🛢,oil drum,drum | oil
927,U+26FD,⛽,fuel pump,diesel | fuel | fuelpump | gas | pump | station
928,U+1F6DE,🛞,wheel,circle | tire | turn | wheel
929,U+1F6A8,🚨,police car light,beacon | car | light | police | revolving
930,U+1F6A5,🚥,horizontal traffic light,horizontal traffic light | light | signal | traffic
931,U+1F6A6,🚦,vertical traffic light,light | signal | traffic | vertical traffic light
932,U+1F6D1,🛑,stop sign,octagonal | sign | stop
933,U+1F6A7,🚧,construction,barrier | construction
934,U+2693,⚓,anchor,anchor | ship | tool
935,U+1F6DF,🛟,ring buoy,float | life preserver | life saver | rescue | ring buoy | safety
936,U+26F5,⛵,sailboat,boat | resort | sailboat | sea | yacht
937,U+1F6F6,🛶,canoe,boat | canoe
938,U+1F6A4,🚤,speedboat,boat | speedboat
939,U+1F6F3,🛳,passenger ship,passenger | ship
940,U+26F4,⛴,ferry,boat | ferry | passenger
941,U+1F6E5,🛥,motor boat,boat | motor boat | motorboat
942,U+1F6A2,🚢,ship,boat | passenger | ship
943,U+2708,✈,airplane,aeroplane | airplane
944,U+1F6E9,🛩,small airplane,aeroplane | airplane | small airplane
945,U+1F6EB,🛫,airplane departure,aeroplane | airplane | check-in | departure | departures
946,U+1F6EC,🛬,airplane arrival,aeroplane | airplane | airplane arrival | arrivals | arriving | landing
947,U+1FA82,🪂,parachute,hang-glide | parachute | parasail | skydive
948,U+1F4BA,💺,seat,chair | seat
949,U+1F681,🚁,helicopter,helicopter | vehicle
950,U+1F69F,🚟,suspension railway,railway | suspension
951,U+1F6A0,🚠,mountain cableway,cable | gondola | mountain | mountain cableway
952,U+1F6A1,🚡,aerial tramway,aerial | cable | car | gondola | tramway
953,U+1F6F0,🛰,satellite,satellite | space
954,U+1F680,🚀,rocket,rocket | space
955,U+1F6F8,🛸,flying saucer,flying saucer | UFO
956,U+1F6CE,🛎,bellhop bell,bell | bellhop | hotel
957,U+1F9F3,🧳,luggage,luggage | packing | travel
958,U+231B,⌛,hourglass done,hourglass done | sand | timer
959,U+23F3,⏳,hourglass not done,hourglass | hourglass not done | sand | timer
960,U+231A,⌚,watch,clock | watch
961,U+23F0,⏰,alarm clock,alarm | clock
962,U+23F1,⏱,stopwatch,clock | stopwatch
963,U+23F2,⏲,timer clock,clock | timer
964,U+1F570,🕰,mantelpiece clock,clock | mantelpiece clock
965,U+1F55B,🕛,twelve o’clock,00 | 12 | 12:00 | clock | o’clock | twelve
966,U+1F567,🕧,twelve-thirty,12 | 12:30 | clock | thirty | twelve | twelve-thirty
967,U+1F550,🕐,one o’clock,00 | 1 | 1:00 | clock | o’clock | one
968,U+1F55C,🕜,one-thirty,1 | 1:30 | clock | one | one-thirty | thirty
969,U+1F551,🕑,two o’clock,00 | 2 | 2:00 | clock | o’clock | two
970,U+1F55D,🕝,two-thirty,2 | 2:30 | clock | thirty | two | two-thirty
971,U+1F552,🕒,three o’clock,00 | 3 | 3:00 | clock | o’clock | three
972,U+1F55E,🕞,three-thirty,3 | 3:30 | clock | thirty | three | three-thirty
973,U+1F553,🕓,four o’clock,00 | 4 | 4:00 | clock | four | o’clock
974,U+1F55F,🕟,four-thirty,4 | 4:30 | clock | four | four-thirty | thirty
975,U+1F554,🕔,five o’clock,00 | 5 | 5:00 | clock | five | o’clock
976,U+1F560,🕠,five-thirty,5 | 5:30 | clock | five | five-thirty | thirty
977,U+1F555,🕕,six o’clock,00 | 6 | 6:00 | clock | o’clock | six
978,U+1F561,🕡,six-thirty,6 | 6:30 | clock | six | six-thirty | thirty
979,U+1F556,🕖,seven o’clock,00 | 7 | 7:00 | clock | o’clock | seven
980,U+1F562,🕢,seven-thirty,7 | 7:30 | clock | seven | seven-thirty | thirty
981,U+1F557,🕗,eight o’clock,00 | 8 | 8:00 | clock | eight | o’clock
982,U+1F563,🕣,eight-thirty,8 | 8:30 | clock | eight | eight-thirty | thirty
983,U+1F558,🕘,nine o’clock,00 | 9 | 9:00 | clock | nine | o’clock
984,U+1F564,🕤,nine-thirty,9 | 9:30 | clock | nine | nine-thirty | thirty
985,U+1F559,🕙,ten o’clock,00 | 10 | 10:00 | clock | o’clock | ten
986,U+1F565,🕥,ten-thirty,10 | 10:30 | clock | ten | ten-thirty | thirty
987,U+1F55A,🕚,eleven o’clock,00 | 11 | 11:00 | clock | eleven | o’clock
988,U+1F566,🕦,eleven-thirty,11 | 11:30 | clock | eleven | eleven-thirty | thirty
989,U+1F311,🌑,new moon,dark | moon | new moon
990,U+1F312,🌒,waxing crescent moon,crescent | moon | waxing
991,U+1F313,🌓,first quarter moon,first quarter moon | moon | quarter
992,U+1F314,🌔,waxing gibbous moon,gibbous | moon | waxing
993,U+1F315,🌕,full moon,full | moon
994,U+1F316,🌖,waning gibbous moon,gibbous | moon | waning
995,U+1F317,🌗,last quarter moon,last quarter moon | moon | quarter
996,U+1F318,🌘,waning crescent moon,crescent | moon | waning
997,U+1F319,🌙,crescent moon,crescent | moon
998,U+1F31A,🌚,new moon face,face | moon | new moon face
999,U+1F31B,🌛,first quarter moon face,face | first quarter moon face | moon | quarter
1000,U+1F31C,🌜,last quarter moon face,face | last quarter moon face | moon | quarter
1001,U+1F321,🌡,thermometer,thermometer | weather
1002,U+2600,☀,sun,bright | rays | sun | sunny
1003,U+1F31D,🌝,full moon face,bright | face | full | moon
1004,U+1F31E,🌞,sun with face,bright | face | sun | sun with face
1005,U+1FA90,🪐,ringed planet,ringed planet | saturn | saturnine
1006,U+2B50,⭐,star,star
1007,U+1F31F,🌟,glowing star,glittery | glow | glowing star | shining | sparkle | star
1008,U+1F320,🌠,shooting star,falling | shooting | star
1009,U+1F30C,🌌,milky way,milky way | space
1010,U+2601,☁,cloud,cloud | weather
1011,U+26C5,⛅,sun behind cloud,cloud | sun | sun behind cloud
1012,U+26C8,⛈,cloud with lightning and rain,cloud | cloud with lightning and rain | rain | thunder
1013,U+1F324,🌤,sun behind small cloud,cloud | sun | sun behind small cloud
1014,U+1F325,🌥,sun behind large cloud,cloud | sun | sun behind large cloud
1015,U+1F326,🌦,sun behind rain cloud,cloud | rain | sun | sun behind rain cloud
1016,U+1F327,🌧,cloud with rain,cloud | cloud with rain | rain
1017,U+1F328,🌨,cloud with snow,cloud | cloud with snow | cold | snow
1018,U+1F329,🌩,cloud with lightning,cloud | cloud with lightning | lightning
1019,U+1F32A,🌪,tornado,cloud | tornado | whirlwind
1020,U+1F32B,🌫,fog,cloud | fog
1021,U+1F32C,🌬,wind face,blow | cloud | face | wind
1022,U+1F300,🌀,cyclone,cyclone | dizzy | hurricane | twister | typhoon
1023,U+1F308,🌈,rainbow,rain | rainbow
1024,U+1F302,🌂,closed umbrella,closed umbrella | clothing | rain | umbrella
1025,U+2602,☂,umbrella,clothing | rain | umbrella
1026,U+2614,☔,umbrella with rain drops,clothing | drop | rain | umbrella | umbrella with rain drops
1027,U+26F1,⛱,umbrella on ground,rain | sun | umbrella | umbrella on ground
1028,U+26A1,⚡,high voltage,danger | electric | high voltage | lightning | voltage | zap
1029,U+2744,❄,snowflake,cold | snow | snowflake
1030,U+2603,☃,snowman,cold | snow | snowman
1031,U+26C4,⛄,snowman without snow,cold | snow | snowman | snowman without snow
1032,U+2604,☄,comet,comet | space
1033,U+1F525,🔥,fire,fire | flame | tool
1034,U+1F4A7,💧,droplet,cold | comic | drop | droplet | sweat
1035,U+1F30A,🌊,water wave,ocean | water | wave
1036,U+1F383,🎃,jack-o-lantern,celebration | halloween | jack | jack-o-lantern | lantern
1037,U+1F384,🎄,Christmas tree,celebration | Christmas | tree
1038,U+1F386,🎆,fireworks,celebration | fireworks
1039,U+1F387,🎇,sparkler,celebration | fireworks | sparkle | sparkler
1040,U+1F9E8,🧨,firecracker,dynamite | explosive | firecracker | fireworks
1041,U+2728,✨,sparkles,* | sparkle | sparkles | star
1042,U+1F388,🎈,balloon,balloon | celebration
1043,U+1F389,🎉,party popper,celebration | party | popper | tada
1044,U+1F38A,🎊,confetti ball,ball | celebration | confetti
1045,U+1F38B,🎋,tanabata tree,banner | celebration | Japanese | tanabata tree | tree
1046,U+1F38D,🎍,pine decoration,bamboo | celebration | Japanese | pine | pine decoration
1047,U+1F38E,🎎,Japanese dolls,celebration | doll | festival | Japanese | Japanese dolls
1048,U+1F38F,🎏,carp streamer,carp | celebration | streamer
1049,U+1F390,🎐,wind chime,bell | celebration | chime | wind
1050,U+1F391,🎑,moon viewing ceremony,celebration | ceremony | moon | moon viewing ceremony
1051,U+1F9E7,🧧,red envelope,gift | good luck | hóngbāo | lai see | money | red envelope
1052,U+1F380,🎀,ribbon,celebration | ribbon
1053,U+1F381,🎁,wrapped gift,box | celebration | gift | present | wrapped
1054,U+1F397,🎗,reminder ribbon,celebration | reminder | ribbon
1055,U+1F39F,🎟,admission tickets,admission | admission tickets | ticket
1056,U+1F3AB,🎫,ticket,admission | ticket
1057,U+1F396,🎖,military medal,celebration | medal | military
1058,U+1F3C6,🏆,trophy,prize | trophy
1059,U+1F3C5,🏅,sports medal,medal | sports medal
1060,U+1F947,🥇,1st place medal,1st place medal | first | gold | medal
1061,U+1F948,🥈,2nd place medal,2nd place medal | medal | second | silver
1062,U+1F949,🥉,3rd place medal,3rd place medal | bronze | medal | third
1063,U+26BD,⚽,soccer ball,ball | football | soccer
1064,U+26BE,⚾,baseball,ball | baseball
1065,U+1F94E,🥎,softball,ball | glove | softball | underarm
1066,U+1F3C0,🏀,basketball,ball | basketball | hoop
1067,U+1F3D0,🏐,volleyball,ball | game | volleyball
1068,U+1F3C8,🏈,american football,american | ball | football
1069,U+1F3C9,🏉,rugby football,ball | football | rugby
1070,U+1F3BE,🎾,tennis,ball | racquet | tennis
1071,U+1F94F,🥏,flying disc,flying disc | ultimate
1072,U+1F3B3,🎳,bowling,ball | bowling | game
1073,U+1F3CF,🏏,cricket game,ball | bat | cricket game | game
1074,U+1F3D1,🏑,field hockey,ball | field | game | hockey | stick
1075,U+1F3D2,🏒,ice hockey,game | hockey | ice | puck | stick
1076,U+1F94D,🥍,lacrosse,ball | goal | lacrosse | stick
1077,U+1F3D3,🏓,ping pong,ball | bat | game | paddle | ping pong | table tennis
1078,U+1F3F8,🏸,badminton,badminton | birdie | game | racquet | shuttlecock
1079,U+1F94A,🥊,boxing glove,boxing | glove
1080,U+1F94B,🥋,martial arts uniform,judo | karate | martial arts | martial arts uniform | taekwondo | uniform
1081,U+1F945,🥅,goal net,goal | net
1082,U+26F3,⛳,flag in hole,flag in hole | golf | hole
1083,U+26F8,⛸,ice skate,ice | skate
1084,U+1F3A3,🎣,fishing pole,fish | fishing pole | pole
1085,U+1F93F,🤿,diving mask,diving | diving mask | scuba | snorkeling
1086,U+1F3BD,🎽,running shirt,athletics | running | sash | shirt
1087,U+1F3BF,🎿,skis,ski | skis | snow
1088,U+1F6F7,🛷,sled,sled | sledge | sleigh | luge | toboggan
1089,U+1F94C,🥌,curling stone,curling stone | game | rock
1090,U+1F3AF,🎯,bullseye,bullseye | dart | direct hit | game | hit | target
1091,U+1FA80,🪀,yo-yo,fluctuate | toy | yo-yo
1092,U+1FA81,🪁,kite,fly | kite | soar
1093,U+1F52B,🔫,water pistol,gun | handgun | pistol | revolver | tool | water | weapon
1094,U+1F3B1,🎱,pool 8 ball,8 | ball | billiard | eight | game | pool 8 ball
1095,U+1F52E,🔮,crystal ball,ball | crystal | fairy tale | fantasy | fortune | tool
1096,U+1FA84,🪄,magic wand,magic | magic wand | witch | wizard
1097,U+1F3AE,🎮,video game,controller | game | video game
1098,U+1F579,🕹,joystick,game | joystick | video game
1099,U+1F3B0,🎰,slot machine,game | slot | slot machine
1100,U+1F3B2,🎲,game die,dice | die | game
1101,U+1F9E9,🧩,puzzle piece,clue | interlocking | jigsaw | piece | puzzle
1102,U+1F9F8,🧸,teddy bear,plaything | plush | stuffed | teddy bear | toy
1103,U+1FA85,🪅,piñata,celebration | party | piñata
1104,U+1FAA9,🪩,mirror ball,dance | disco | glitter | mirror ball | party
1105,U+1FA86,🪆,nesting dolls,doll | nesting | nesting dolls | russia
1106,U+2660,♠,spade suit,card | game | spade suit
1107,U+2665,♥,heart suit,card | game | heart suit
1108,U+2666,♦,diamond suit,card | diamond suit | game
1109,U+2663,♣,club suit,card | club suit | game
1110,U+265F,♟,chess pawn,chess | chess pawn | dupe | expendable
1111,U+1F0CF,🃏,joker,card | game | joker | wildcard
1112,U+1F004,🀄,mahjong red dragon,game | mahjong | mahjong red dragon | red
1113,U+1F3B4,🎴,flower playing cards,card | flower | flower playing cards | game | Japanese | playing
1114,U+1F3AD,🎭,performing arts,art | mask | performing | performing arts | theater | theatre
1115,U+1F5BC,🖼,framed picture,art | frame | framed picture | museum | painting | picture
1116,U+1F3A8,🎨,artist palette,art | artist palette | museum | painting | palette
1117,U+1F9F5,🧵,thread,needle | sewing | spool | string | thread
1118,U+1FAA1,🪡,sewing needle,embroidery | needle | sewing | stitches | sutures | tailoring
1119,U+1F9F6,🧶,yarn,ball | crochet | knit | yarn
