,code,smiley,CLDR,keywords
430,U+1F46F U+200D U+2642 U+FE0F,👯‍♂️,men with bunny ears,bunny ear | dancer | men | men with bunny ears | partying
431,U+1F46F U+200D U+2640 U+FE0F,👯‍♀️,women with bunny ears,bunny ear | dancer | partying | women | women with bunny ears
432,U+1F9D6,🧖,person in steamy room,person in steamy room | sauna | steam room | hamam | steambath
433,U+1F9D6 U+200D U+2642 U+FE0F,🧖‍♂️,man in steamy room,man in steamy room | sauna | steam room
434,U+1F9D6 U+200D U+2640 U+FE0F,🧖‍♀️,woman in steamy room,sauna | steam room | woman in steamy room
435,U+1F9D7,🧗,person climbing,climber | person climbing
436,U+1F9D7 U+200D U+2642 U+FE0F,🧗‍♂️,man climbing,climber | man climbing
437,U+1F9D7 U+200D U+2640 U+FE0F,🧗‍♀️,woman climbing,climber | woman climbing
438,U+1F93A,🤺,person fencing,fencer | fencing | person fencing | sword
439,U+1F3C7,🏇,horse racing,horse | jockey | racehorse | racing
440,U+26F7,⛷,skier,ski | skier | snow
441,U+1F3C2,🏂,snowboarder,ski | snow | snowboard | snowboarder
442,U+1F3CC,🏌,person golfing,ball | golf | person golfing
443,U+1F3CC U+FE0F U+200D U+2642 U+FE0F,🏌️‍♂️,man golfing,golf | man | man golfing
444,U+1F3CC U+FE0F U+200D U+2640 U+FE0F,🏌️‍♀️,woman golfing,golf | woman | woman golfing
445,U+1F3C4,🏄,person surfing,person surfing | surfing
446,U+1F3C4 U+200D U+2642 U+FE0F,🏄‍♂️,man surfing,man | surfing
447,U+1F3C4 U+200D U+2640 U+FE0F,🏄‍♀️,woman surfing,surfing | woman
448,U+1F6A3,🚣,person rowing boat,boat | person rowing boat | rowboat
449,U+1F6A3 U+200D U+2642 U+FE0F,🚣‍♂️,man rowing boat,boat | man | man rowing boat | rowboat
450,U+1F6A3 U+200D U+2640 U+FE0F,🚣‍♀️,woman rowing boat,boat | rowboat | woman | woman rowing boat
451,U+1F3CA,🏊,person swimming,person swimming | swim
452,U+1F3CA U+200D U+2642 U+FE0F,🏊‍♂️,man swimming,man | man swimming | swim
453,U+1F3CA U+200D U+2640 U+FE0F,🏊‍♀️,woman swimming,swim | woman | woman swimming
454,U+26F9,⛹,person bouncing ball,ball | person bouncing ball
455,U+26F9 U+FE0F U+200D U+2642 U+FE0F,⛹️‍♂️,man bouncing ball,ball | man | man bouncing ball
456,U+26F9 U+FE0F U+200D U+2640 U+FE0F,⛹️‍♀️,woman bouncing ball,ball | woman | woman bouncing ball
457,U+1F3CB,🏋,person lifting weights,lifter | person lifting weights | weight
458,U+1F3CB U+FE0F U+200D U+2642 U+FE0F,🏋️‍♂️,man lifting weights,man | man lifting weights | weight lifter
459,U+1F3CB U+FE0F U+200D U+2640 U+FE0F,🏋️‍♀️,woman lifting weights,weight lifter | woman | woman lifting weights
460,U+1F6B4,🚴,person biking,bicycle | biking | cyclist | person biking
461,U+1F6B4 U+200D U+2642 U+FE0F,🚴‍♂️,man biking,bicycle | biking | cyclist | man
462,U+1F6B4 U+200D U+2640 U+FE0F,🚴‍♀️,woman biking,bicycle | biking | cyclist | woman
463,U+1F6B5,🚵,person mountain biking,bicycle | bicyclist | bike | cyclist | mountain | person mountain biking
464,U+1F6B5 U+200D U+2642 U+FE0F,🚵‍♂️,man mountain biking,bicycle | bike | cyclist | man | man mountain biking | mountain
465,U+1F6B5 U+200D U+2640 U+FE0F,🚵‍♀️,woman mountain biking,bicycle | bike | biking | cyclist | mountain | woman
466,U+1F938,🤸,person cartwheeling,cartwheel | gymnastics | person cartwheeling
467,U+1F938 U+200D U+2642 U+FE0F,🤸‍♂️,man cartwheeling,cartwheel | gymnastics | man | man cartwheeling
468,U+1F938 U+200D U+2640 U+FE0F,🤸‍♀️,woman cartwheeling,cartwheel | gymnastics | woman | woman cartwheeling
469,U+1F93C,🤼,people wrestling,people wrestling | wrestle | wrestler
470,U+1F93C U+200D U+2642 U+FE0F,🤼‍♂️,men wrestling,men | men wrestling | wrestle
471,U+1F93C U+200D U+2640 U+FE0F,🤼‍♀️,women wrestling,women | women wrestling | wrestle
472,U+1F93D,🤽,person playing water polo,person playing water polo | polo | water
473,U+1F93D U+200D U+2642 U+FE0F,🤽‍♂️,man playing water polo,man | man playing water polo | water polo
474,U+1F93D U+200D U+2640 U+FE0F,🤽‍♀️,woman playing water polo,water polo | woman | woman playing water polo
475,U+1F93E,🤾,person playing handball,ball | handball | person playing handball
476,U+1F93E U+200D U+2642 U+FE0F,🤾‍♂️,man playing handball,handball | man | man playing handball
477,U+1F93E U+200D U+2640 U+FE0F,🤾‍♀️,woman playing handball,handball | woman | woman playing handball
478,U+1F939,🤹,person juggling,balance | juggle | multitask | person juggling | skill
479,U+1F939 U+200D U+2642 U+FE0F,🤹‍♂️,man juggling,juggling | man | multitask
480,U+1F939 U+200D U+2640 U+FE0F,🤹‍♀️,woman juggling,juggling | multitask | woman
481,U+1F9D8,🧘,person in lotus position,meditation | person in lotus position | yoga | serenity
482,U+1F9D8 U+200D U+2642 U+FE0F,🧘‍♂️,man in lotus position,man in lotus position | meditation | yoga
483,U+1F9D8 U+200D U+2640 U+FE0F,🧘‍♀️,woman in lotus position,meditation | woman in lotus position | yoga
484,U+1F6C0,🛀,person taking bath,bath | bathtub | person taking bath
485,U+1F6CC,🛌,person in bed,good night | hotel | person in bed | sleep
486,U+1F9D1 U+200D U+1F91D U+200D U+1F9D1,🧑‍🤝‍🧑,people holding hands,couple | hand | hold | holding hands | people holding hands | person
487,U+1F46D,👭,women holding hands,couple | hand | holding hands | women | women holding hands
488,U+1F46B,👫,woman and man holding hands,couple | hand | hold | holding hands | man | woman | woman and man holding hands
489,U+1F46C,👬,men holding hands,couple | Gemini | holding hands | man | men | men holding hands | twins | zodiac
490,U+1F48F,💏,kiss,couple | kiss
491,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,👩‍❤️‍💋‍👨,"kiss: woman, man",couple | kiss | man | woman
492,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,👨‍❤️‍💋‍👨,"kiss: man, man",couple | kiss | man
493,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,👩‍❤️‍💋‍👩,"kiss: woman, woman",couple | kiss | woman
494,U+1F491,💑,couple with heart,couple | couple with heart | love
495,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,👩‍❤️‍👨,"couple with heart: woman, man",couple | couple with heart | love | man | woman
496,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,👨‍❤️‍👨,"couple with heart: man, man",couple | couple with heart | love | man
497,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,👩‍❤️‍👩,"couple with heart: woman, woman",couple | couple with heart | love | woman
498,U+1F46A,👪,family,family
499,U+1F468 U+200D U+1F469 U+200D U+1F466,👨‍👩‍👦,"family: man, woman, boy",boy | family | man | woman
500,U+1F468 U+200D U+1F469 U+200D U+1F467,👨‍👩‍👧,"family: man, woman, girl",family | girl | man | woman
501,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,👨‍👩‍👧‍👦,"family: man, woman, girl, boy",boy | family | girl | man | woman
502,U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,👨‍👩‍👦‍👦,"family: man, woman, boy, boy",boy | family | man | woman
503,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,👨‍👩‍👧‍👧,"family: man, woman, girl, girl",family | girl | man | woman
504,U+1F468 U+200D U+1F468 U+200D U+1F466,👨‍👨‍👦,"family: man, man, boy",boy | family | man
